#,Cancion,key,Genero,Artista,Idioma,Sugerida Por,Notas,Recording Link,Video Link,Lyrics Link,Votes for Event
1,17 anos,Dm,Cumbia Rockera,Angeles/Jay,Español,,,,https://youtu.be/y22w9ObONtQ,,
2,Afuera,Bm7,Rock,Caifanes,Español,,,,https://youtu.be/YEPz0maWiB0,,
3,Amor,A,Cumbia Naca,Emmanuel Cortess,Español,MIGUEL,,,https://youtu.be/b-XkexlmElM,,
4,Amores Lejanos,Am,Rock,Enanitos,Español,,,,https://youtu.be/sX6XV6fTyzU,,
5,Chuntaro Style,C,Cumbia Rockera,El Gran Silencio,Español,,,,https://youtu.be/Jp7qZnhbSII,,
6,Como quien pierde una estrella,C,Cumbia,Pika Pika,Español,CESAR,,,,,
7,Corazon Espinado,Dm,Rock,Mana,Español,,https://www.bing.com/ck/a?!&&p=d2e59975,https://www.bing.com/search?FORM=SNAPST&q=Santana+Coraz%c3%b3n+Espinado+(feat.+Man%c3%a1)%20Lyrics&filters,,,
8,Cumbia del Sol,D7,Cumbia,,Español,,,,,,
9,Cumbia los Pajaritos,Am,Cumbia,Pika Pika,Español,FER,,,https://youtu.be/RPWKAzNxilY,,
10,Desvelado,Bm,Tex-Tex,Bobby Pullido,Español,CESAR,,,https://youtu.be/-6_HDXEhNO0,,
11,El Botecito,E7,Cumbia Norteña,???,Español,,,,https://youtu.be/irfE3zyUkms,,
12,El lado Oscuro,Gm,Rock,Jarabe de Palo,Español,MARIO,,,https://youtu.be/-0w0m2woTgk,,
13,El Sirenito,G,Cumbia,Rigo T,Español,,,https://1drv.ms/v/c/171b83388dae019e/IQBLjaaOoBkoT7pXdTiCyJbZAczjCq9mDHTj2DB90yQdM7E,,,
14,Feliz Feliz,,Quebradita,Mi banda Mexican,Español,MARIN,,https://1drv.ms/v/c/171b83388dae019e/IQAwugUi_Ez1TJ4dutFhkZ4QAe5GPyXqsE8luel02yCrdJc,,,
15,Folson Prison Blues,,Country Rock,Bastardos Country Rock,Ingles,FER,,,https://youtu.be/hpz30xQ882k,,
16,Fue en un Café,Em,Classic Rock,Los Apson,Español,,,,,,
17,Get Lucky,Bm,Techno-Funk,Punk,Ingles,,,,,,
18,Guitarras Blancas,Cm,Cumbia Rockera,La Nueva Ola,Español,FER,,,https://youtu.be/o1VoSojHn80,,
19,Have you ever seen the rain,,Rock,,Ingles,,,,,,
20,Hombre Lobo en Paris,A,Rock,La Unio/Pika Pika,Español,MARIN,,,,,
21,I Can't Get No - Satisfaction,E,Rock,Rolling Stones,Ingles,,,,,,
22,Juana la Cubana,Cm7,Cumbia,,Español,,,,https://youtu.be/pr7ZmsGNZyI,,
23,La Boda del Huitlacoche,,Huapango Norteño,,Español,,,,,,
24,La Chona,C,Cumbia?,Los Tucanes,Español,,,,,,
25,La Negra Tomasa,Bm,Cumbia Rockera,Caifanes,Español,,,,,,
26,La nena,A,Banda,,Español,,,,,,
27,La Planta,Em,Rock,Caos,Español,,,,https://youtu.be/nPY9ZGg34so,,
28,Lamento Boliviano,Em,,,Español,,,,,,
29,Mariposa Traicionera,Dm,Pop rockero gay,Mana,Español,,,,,,
30,Mil Horas,Gm,Cumbia,La Sonora,Español,MARIO,,,,,
31,Moño Colorado,A,Cumbia,???,Español,,,,,,
32,Muralla Verde,B,Rock,Enanitos,Español,FER,,,,,
33,Musica Ligera,Bm,Rock,Soda Estereo,Español,,,,,,
34,No Rompas Mas,Bb,Country,Golden Horse,Español,,,,,,
35,Nunca es suficiente,Am,Cumbia,Angeles,Español,,,,https://youtu.be/k76BgIb89-s,,
36,Oye Mi Amor,Bm,Rock,Mana,Español,CESAR,,,https://youtu.be/h0p8yTqj8i4,,
37,Para todos los Rumberos,,Cumbia Rockera,Los Angeles Y Panteon,Español,,,,https://youtu.be/nyEiusgs_3I,,
38,Paula,,Espacial Mariguanesco,Zoe,Español,MIGUEL,,,https://youtu.be/9boHyjzpEIw,,
39,Quiero ver,,,Café Tacuba,Español,,,,https://youtu.be/BgQg3J7xU1k,,
40,Roadhouse blues,,Rock,Las Puertas,Ingles,MARIO,,,,,
41,Run Away,F#m,Regue,Los Pericos,Spanglish,,,,https://youtu.be/KoxlzZlILzI,,
42,Sergio el Bailador,G,Cumbia,Bronco,Español,,,,,,
43,Stand By Me,,,,Ingles,,,,,,
44,Sufre Mamon,Dm,Cumbia Rockera,Pika Pika,Español,,,,,,
45,Tiene Espinas el Rosal,Em,Cumbia,Cañaveral,Español,,,,https://youtu.be/THZbjHKyhR0,,
46,Todo me Sale Mal,F,Rock,El Tri,Español,,,,https://youtu.be/YztrMDhTRac,,
47,Tragos De Amargo Licor,G,Norteña,Bumbury and la Santa Cecilia,Español,,,,https://youtu.be/Az-k85FwmCU,,
48,Tus jefes no me quieren,D#m,Cumbia,??,Español,ALI,,,https://youtu.be/4iM2BPKmt5A,,
49,Yo te Necesito,,,Los Bukies,Español,,,,,,
50,Son del dolor,,,,Español,,,,,,
51,No te puedo olvidar (versión: pending),,,,Español,,,,,,
52,Mentirosa,,Rock Pop,Elefante,Español,,,,,,
53,I shot the Sherif,,Regue,Bob Marlin,Ingles,,,,,,
54,Just the two of us,,??,,Ingles,FER,,,,,
55,Duerme Soñando,,Rock Cumbiero,El Gran Silencio,Español,MARIN,,,,,
56,Apuesta por el rock&roll,,,,Español,,,,,,
57,Kumbala,,,,Español,,,,,,
58,Creep,,,,,,,,,,
59,Test,,,,,,,,,,


